Date,GOOGL,AMZN,WMT,XOM,BRK,JNJ,UPS,AAPL,LIN,AMT,NEE
20200918,"1,458.48","2,949.02",136.3,37.25,220.22,148.31,161.33,107.5,247.86,245.95,278.18
20200917,"1,487.04","3,008.73",136.69,37.8,218.05,147.17,159.75,110.34,250.39,250.73,279.52
20200916,"1,512.09","3,078.10",136.26,37.81,219.59,148.4,159.87,112.13,248.84,263.29,280.35
20200915,"1,535.12","3,156.13",137.36,36.27,218.94,148.89,161.53,115.54,250.73,263.75,295.7
20200914,"1,508.83","3,102.97",137.32,36.66,219.94,148.35,160.14,115.36,251.25,253.9,281.92
20200911,"1,515.76","3,116.22",136.7,36.9,217.93,147.78,158.87,112,250.17,249.79,278.15
20200910,"1,526.05","3,175.11",136.81,37,217.8,146.91,157.89,113.49,247.29,248.38,276.91
20200909,"1,547.23","3,268.61",139.89,37.95,219.63,149.7,159.8,117.32,251.15,252.42,282.37
20200908,"1,523.60","3,149.84",138.45,38.18,217.8,147.26,156.45,112.82,243.05,246.81,277.91
20200904,"1,581.21","3,294.62",142.83,39.08,218.32,148.59,160.78,120.96,247.7,249.98,277.32
20200903,"1,629.51","3,368.00",144.54,39.11,218.15,149.55,158.02,120.88,250.45,252.32,280.59
20200902,"1,717.39","3,531.45",147.68,39.19,221.68,153.83,165.78,131.4,260.23,256.5,288.26
20200901,"1,655.08","3,499.12",147.59,39.43,218.55,151.52,162.65,134.18,256.94,248.03,277.13
20200831,"1,629.53","3,450.96",138.85,39.94,218.04,153.41,163.62,129.04,249.74,249.15,279.17
20200828,"1,639.43","3,401.80",140.3,40.69,218.55,153.64,162.36,124.81,253.57,249.59,279.55
20200827,"1,628.52","3,400.00",136.63,39.74,216.87,152.98,160.21,125.01,250.93,247.97,278.88
20200826,"1,644.13","3,441.85",130.7,40.01,214.66,152.3,158.9,126.52,252.88,246.97,279
20200825,"1,605.85","3,346.49",130.63,40.88,213.35,152.06,159.04,124.83,250.08,246.41,281.31
20200824,"1,585.15","3,307.46",131.33,42.22,212.61,152.15,160.35,125.86,248.91,245.44,282.63
20200821,"1,575.57","3,284.72",131.63,41.01,207.43,152.76,159.03,124.37,244.3,249.34,282.41
20200820,"1,576.25","3,297.37",130.57,41.32,206.12,151.42,159.55,118.28,245.31,247.68,282.11
20200819,"1,544.61","3,260.48",132.41,41.96,207.21,150.39,160.34,115.71,247.24,245.23,282.34
20200818,"1,555.78","3,312.49",134.71,42.43,208.33,150.09,159.99,115.56,246.88,252.55,283.05
20200817,"1,516.24","3,182.41",135.6,42.64,206.78,148.99,160.3,114.61,248.43,250.91,282.99
20200814,"1,504.63","3,148.02",132.6,43.2,210.96,148.24,160.74,114.91,248.5,250.12,280.5
20200813,"1,516.65","3,161.02",131.85,43.01,211.98,148,159.29,115.01,249.24,250.73,284.4
20200812,"1,507.24","3,162.24",131.89,44.09,213.24,149.66,157.79,113.01,248.63,251.3,284.59
20200811,"1,480.54","3,080.67",130.2,44.97,212.66,146.97,155.85,109.38,244.85,246.2,277.79
20200810,"1,496.82","3,148.16",131.88,44.51,212.58,148.03,159.59,112.73,243.34,253.41,283.64
20200807,"1,498.37","3,167.46",129.97,43.44,209.48,148.6,156.9,111.11,245.31,257.61,287.78
20200806,"1,504.95","3,225.00",129.35,43.64,205.02,147.55,145.47,113.9,246.66,255.51,282.81
20200805,"1,479.09","3,205.03",129.81,43.85,203.62,148.4,145.08,110.06,248.27,255.29,283.78
20200804,"1,473.30","3,138.83",131.64,43.47,200.24,147.22,144.72,109.67,243.85,260.17,285.05
20200803,"1,482.76","3,111.89",129.3,42.25,199.26,147.35,142.18,108.94,244.31,256.58,277.59
20200731,"1,487.95","3,164.68",129.4,42.08,195.78,145.76,142.76,106.26,245.11,261.39,280.7
20200730,"1,538.37","3,051.88",130.12,41.87,194.3,146.84,141.46,96.19,242.02,262.49,282.34
20200729,"1,523.51","3,033.53",130.69,44.03,196.41,146.54,123.68,95.04,244.71,271.29,281.44
20200728,"1,503.65","3,000.33",131.76,43.55,194.12,146.83,119.62,93.25,243.7,266.8,280.04
20200727,"1,529.43","3,055.21",131.21,44.07,192.14,147.18,121.01,94.81,246.86,260.31,277.63
20200724,"1,508.21","3,008.91",131.24,43.43,194.52,148.12,118.35,92.62,244.07,256.33,280.25
20200723,"1,516.75","2,986.55",131.64,43.7,193.25,149.61,118.14,92.85,245.98,257.9,280.97
20200722,"1,564.85","3,099.91",132.66,43.61,192.1,150.01,118.72,97.27,245.34,259.04,280.42
20200721,"1,555.92","3,138.29",132.33,44.65,192.27,149.74,119.04,97,244,259.21,276.33
20200720,"1,563.84","3,196.84",131.47,42.5,190.48,149.6,118.35,98.36,240.32,260.53,274.33
20200717,"1,516.85","2,961.97",131.74,43.52,190.76,149.35,118.55,96.33,242.6,259.11,275.38
20200716,"1,514.92","2,999.90",132.2,44.28,191.01,149.25,119.74,96.52,238.89,257.48,268.38
20200715,"1,516.88","3,008.87",132,44.63,190.56,148.26,119.21,97.73,237.63,257.27,259
20200714,"1,520.86","3,084.00",132.01,44.07,189.71,147.92,115.33,97.06,233.13,258.94,262.55
20200713,"1,512.23","3,104.00",129.52,42.66,184.13,145.21,113.76,95.48,225.82,255.93,256.24
20200710,"1,539.01","3,200.00",130.68,42.65,182.9,142.37,115.07,95.92,225.95,264.35,259.6
20200709,"1,518.66","3,182.63",127.75,41.36,178.8,142.49,114.45,95.68,221.95,265.6,251.99
20200708,"1,503.60","3,081.11",124.44,43.14,181.2,143.27,114.47,95.34,221.52,264.7,253.27
20200707,"1,489.92","3,000.12",126.95,43.24,181.15,142.85,114.45,93.17,224.53,265.97,246.72
20200706,"1,499.65","3,057.04",118.89,44.39,182.72,142.98,115.36,93.46,224.65,265.97,246.96
20200702,"1,469.93","2,890.30",119.21,44.08,178.83,140.97,114.36,91.03,221.26,264.21,246.4
20200701,"1,442.00","2,878.70",119.69,43.71,177.99,140.38,114.42,91.03,214.77,265.39,246.26
20200630,"1,418.05","2,758.82",119.78,44.72,178.51,140.63,111.18,91.2,212.11,258.54,240.17
20200629,"1,397.17","2,680.38",119.06,44.32,177.19,139.04,109.48,90.45,211.28,253.8,238.24
20200626,"1,362.54","2,692.87",118.32,43.62,175.37,137.81,107.32,88.41,206.82,246.48,236.22
20200625,"1,441.10","2,754.58",119.71,45.17,178.85,139.67,110.52,91.21,209.14,254.36,239.16
20200624,"1,432.70","2,734.40",120.3,44.5,177.53,139.82,109.5,90.02,206.07,254.18,241.67
20200623,"1,463.98","2,764.41",121.07,46.7,181.01,142.86,110.61,91.63,212.37,264.5,243.21
20200622,"1,450.66","2,713.82",121.68,46.42,180.17,143.39,106.9,89.72,209.97,264.6,247.04
20200619,"1,424.64","2,675.01",119.85,45.98,179.72,143.83,107.77,87.43,208.05,265.6,242.21
20200618,"1,434.12","2,653.98",117.99,46.92,180.73,143.41,107.58,87.93,208.16,257.6,248.93
20200617,"1,452.54","2,640.98",119.03,46.63,180.86,144.02,106.99,87.9,207.48,263.97,249
20200616,"1,446.47","2,615.27",119.65,48.2,182.3,144.46,105.83,88.02,208.28,264.78,248.17
20200615,"1,420.74","2,572.68",118.08,47.14,181.55,141.25,105.64,85.75,203.24,262.49,248.57
20200612,"1,412.92","2,545.02",117.74,47.17,181.21,142.15,101.48,84.7,201.94,258.08,246.91
20200611,"1,401.90","2,557.96",120.09,46.18,178.02,140.87,100.47,83.98,199.11,251.51,248.33
